"";"x"
"1";"ALR"
"2";"ACP"
"3";"BZW"
"4";"CCC"
"5";"CDR"
"6";"CPS"
"7";"ENA"
"8";"ENG"
"9";"EUR"
"10";"ATT"
"11";"GTC"
"12";"ING"
"13";"JSW"
"14";"KER"
"15";"KGH"
"16";"KRU"
"17";"LTS"
"18";"LPP"
"19";"MBK"
"20";"MIL"
"21";"OPL"
"22";"PEO"
"23";"PGE"
"24";"PGN"
"25";"PKN"
"26";"PKO"
"27";"PKP"
"28";"PLY"
"29";"PZU"
"30";"TPE"
